FacilityID,TankName,CompartmentID,CompartmentName,CompartmentSubstanceStored,CompartmentCapacityGallons,OverfillPreventionBallFloatValve,OverfillPreventionFlowShutoffDevice,OverfillPreventionHighLevelAlarm,OverfillPreventionOther,OverfillPreventionUnknown,OverfillPreventionNotRequired,SpillBucketInstalled,ConcreteBermInstalled,SpillPreventionOther,SpillPreventionNotRequired,SpillBucketWallType,TankInterstitialMonitoring,TankAutomaticTankGaugingReleaseDetection,AutomaticTankGaugingContinuousLeakDetection,TankManualTankGauging,TankStatisticalInventoryReconciliation,TankTightnessTesting,TankInventoryControl,TankGroundwaterMonitoring,TankVaporMonitoring,TankSubpartKTightnessTesting,TankSubpartKOther,TankOtherReleaseDetection,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-066,Shell Chalan Pago,"160 North Chalan Kanton Tasi Rt 4 Chalan Pago, GU",GEPA-UST-066,"2 x Gasoline, 1 x Diesel","2 x 8000gas, 1 x 4000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-067,Shell/Foody's Dededo,"184 East Marine Corps Drive Dededo, GU 96929",GEPA-UST-067,"2 x Gasoline, 1 x Diesel","1 x 4000gas, 1 x 12000gas, 1 x 4000 diesel",,,X,,,,X,,,,,X,x,x,,,,,,,,,,,,
GEPA-UST-068 ,Shell/Foody;s Hagatna,"380 East Marine Corps Drive Rt 1 Hagatna, GU 96910",GEPA-UST-068,"2 x Gasoline, 1 x Diesel","1 x 6000gas, 1 x 12000gas, 1 x 4000 diesel",,,X,,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-146,Shell/Foody's Harmon,"1779 Rt 16 Tamuing, GU",GEPA-UST-146,"2 x Gasoline, 2 x Diesel",4 x 8000,,,,71SO Flapper,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-070,Hotel Nikko Guam,"245 Gun Beach Road Tamuning, GU ",GEPA-UST-070,Diesel,2 x 4000,,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-071,Shell Foody's Mangilao,"480 South Rt 10 Mangilao, GU",GEPA-UST-071,Gasoline,"2 x 8000gas, 1 x 4000 diesel",,,X,,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-072,Shell/Foody's NCS,"1822 NCS Finegayan Dededo, GU",GEPA-UST-072,"2 x Gasoline, 1 x Diesel","1 x 4000gas, 1 x 8000gas, 1 x 4000 diesel",,,X,,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-140,Shell Foody's Micro Mall/JIB,"1355 Rt 1 North Marine Corps Drive Eupper Tumon, GU",GEPA-UST-140,"3 x Gasoline, 1 x Diesel","1 x 8000 gas, 2 x 10000gas, 1 x 8000 diesel",,,X,,,,X,,,,,,,,,,,X,,,,,,,,
GEPA-UST-073,Onward Mangilao Golf Course,"1810 Route 15 Pagat Mangilao, GU",GEPA-UST-073,"1 x Gasoline, 1 x Diesel","1 4000gas, 1 x 2500 ",,,X,,,,X,,,,,,X,X,,,,,,,,,,,,
GEPA-UST-075,Shell Tamuning,"180 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",GEPA-UST-075,"3 x Gasoline, ",3 x 12000,,,X,,,,X,,,,,X,,,,,,X,,,,,,,,
GEPA-UST-076,Shell Tiyan,"111 Tiyan Route 10 Barrigada, GU 96913",GEPA-UST-076,Gasoline,"1 x 4000, 1 x 8000",,,X,,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-077,Shell Foody's Tumon ,"280 North Marine Corps Drive Upper Tumon Tamuning, GU",GEPA-UST-077,"3 x Gasoline, 1 x Diesel","3 x 8000gas, 1 x 4000 diesel",,,X,,,,X,,,,,,X,X,,,,X,,,,,,,,
GEPA-UST-078,Shell Foody's Yigo,"214 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",GEPA-UST-078,"2 x Gasoline, 1 x Diesel","1 x 8000gas, 1 x 12000gas, 1 x 6000 diesel",,,X,,,,X,,,,,X,X,X,,,,X,,,,,,,,
GEPA-UST-079,Rihga Royal Laguna Resort,"470 Farenholt Avenue Tamuning, GU",GEPA-UST-079,Diesel,2 x 6000,,,,,X,,X,,,,,X,,,,,X,,,,,,,,,
GEPA-UST-080,Hyatt Regency Guam,"115 San Vitores Road Tamuning, GU",GEPA-UST-080,Diesel,2 x 10000,,,X,,,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-081,Leo Palace Resort,"Mannnegon Hills Yona, GU",GEPA-UST-081,"LPG, Gas, Diesel","2 x 1000LPG, 1 x 500LPG, 1 x 6000gas, 1 x 6000 diesel",,,,61SO Flapper,,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-083,Lufthansa Service (LSG),"166 Guerrero St Harmon Industrial Park Tamuning, GU",GEPA-UST-083,Diesel,1 x 2500,,,,,X,,X,,,,,X,,,,,,,,,,,,,,
GEPA-UST-084,76 Agat Station,"Route 2 Lot 33-1-1-1 Agat, GU",GEPA-UST-084,"2 x Gasoline, 1 x Diesel","1 x 10000gas, 1 x 12000gas, 1 8000 diesel",,,,61SO Flapper,,,X,,,,,X,X,X,,,,X,,,,,,,,
