Permit Number,Facility Name,Address,City,Owner,Tank  Capacity/Substance,Date Installed,Facility Description
GEPA-UST-104,"Triple J Enterprises, Inc.",470 N. Marine Corps Drive,Tamuning,"Triple J Enterprise,
Incorporated","T1-2500 Diesel
T2-1000 Used Oil",2005-12-01 00:00:00,Auto  Dealership
GEPA-UST-105,MVP Business Complex,"T232 B21122, Sinijana 777 Route 4",Sinajana,Mark V. Pangilinan Enterprises,T1-1000 Diesel,,Commercial
GEPA-UST-106,GTA Mangilao Remote,Intersection of Route 10 & Route 15,Mangilao,"TeleGuam  Holdings, LLC. GTA TeleGuam",T1-1200 Diesel,1989-11-01 00:00:00,Utilities
GEPA-UST-107,GTA Tumon Central Office,624 N. Marine Corps Drive,Tamuning,"TeleGuam  Holdings, LLC. GTA TeleGuam",T1-6000 Diesel,1986-06-01 00:00:00,Utilities
GEPA-UST-108,GTA Agana Central Office,"Intersection of Route 4 & West O'Brien Drive      241 Martyr
Street",Hagatna,"TeleGuam  Holdings, LLC. GTA TeleGuam",T1-4000 Diesel,2000-05-01 00:00:00,Utilities
GEPA-UST-109,GTA  Dededo Central Office,"Intersection of Route 1 & Route
27",Dededo,"TeleGuam  Holdings, LLC.
GTA TeleGuam",T1-4000 Diesel,1986-06-01 00:00:00,Utilities
GEPA-UST-110,AAFES Gas Station & KIOSK,430 Army Drive,Barrigada,Guam Army National Guard,T1-10000 Gas T2-15000 Gas,2010-04-01 00:00:00,Gas Station
GEPA-UST-111,Guam Judicial Center,120 West O'Brien,Hagatna,Government of Guam,T1-4000 Diesel,1990-01-01 00:00:00,Local Government
GEPA-UST-113,Agana Beach Condominium,"Lot No. 2121-1-4
Tamuning",Tamuning,"Agana Beach Condominium
Homeowners Association",T1-4000 Diesel,1992-12-01 00:00:00,Commercial
GEPA-UST-114,Coast 360 Federal Credit Union,450 Route 8,Maite,"Coast 360 Federal Credit
Union",T1-2500 Diesel,2010-03-01 00:00:00,Commercial
GEPA-UST-115,Villa Kanton Tasi Condominium,301 Frank Cushing Way,Tamuning,Villa Kanton Tasi Homeowners Association,T1-2500 Diesel,2001-02-06 00:00:00,Residential
GEPA-UST-116,Agat New SPS 1,Route 2 (beside STP),Agat,Government of Guam,T1-10000 Diesel,1997-07-01 00:00:00,State Government
GEPA-UST-117,Agat New SPS 2 (Tipalao),Route 2A,Agat,Government of Guam,T1-10000 Diesel,1997-05-01 00:00:00,State Government
GEPA-UST-119,Chaligan/Taleyfac  SPS,Route 2 across Agat Marina,Agat,Government of Guam,T1-6000 Diesel,1997-10-01 00:00:00,State Government
GEPA-UST-120,Chaot SPS - New,"Afame, Sinajan Route 4",Sinajana,Government of Guam,T1-4000 Diesel,1999-06-01 00:00:00,State Government
GEPA-UST-121,"Commercial Port Sewer Pump
Station - New","Cabras Highway, Piti",Piti,Government of Guam,T1-2500 Diesel,2001-12-01 00:00:00,State Government
GEPA-UST-122,Leyang Sewer Pump Station,Off Dairy Road,Mangilao,Government of Guam,T1-2500 Diesel,2006-02-01 00:00:00,State Government
GEPA-UST-123,SureStay  Hotel,"122 Hasalao Street, Route 8",Barrigada,Tent Corporation,T1-1000 Diesel,1991-12-01 00:00:00,Commercial
GEPA-UST-124,"NEX NRMC, Building 5, Autoport","Building #5, Naval Regional Medical Center",Agana Heights,U.S. Naval Forces Marianas,T1-6000 Gas T2-10000 Gas,1990-08-01 00:00:00,Gas Station
GEPA-UST-126,Laguna Pago Bay (SPPC),Route 4,Yona,South Pacific Petroleum Corporation,T1-2000 LPG T2-2000 LPG,2009-12-01 00:00:00,Residential
GEPA-UST-127,"POL Fuel Pump House I & Reciept
Pad","B-26200 & 26210 Marianas
Blvd.",Yigo,Andersen AFB,T1-4000 Jet Fuel T2-4000 Jet Fuel,"01-Dec-00
01-Feb-01",Federal Military
GEPA-UST-127,POL Fuel Pump House 2,Bldg 19021 Arc Light Blvd. Andersen AFB,,Andersen AFB,T1-4000 Jet Fuel,2001-11-01 00:00:00,Federal Military
GEPA-UST-127,Fuel Pump Houses 3 & 4,"B-2590 & 2595 Marianas Blvd,
Andersen AFB",Yigo,Andersen AFB,"T1-4000 Jet Fuel
T2-4000 Jet Fuel",2005-01-01 00:00:00,Federal Military
GEPA-UST-128,Sandcastle  Incorporated,1199 Pale San Vitores Road,Tamuning,Sandcastle  Incorporated,T1-10000 Diesel,1990-10-01 00:00:00,Commercial
GEPA-UST-129,First Hawaiian Bank,"400 Route 8 MongMong Maite
Branch",MongMong,First Hawaiian Bank,T1-8000 Diesel,1993-10-01 00:00:00,Commercial
GEPA-UST-130,Guam  Homeland Security/OCD,221-B Chalan Payasyo,Agana Heights,Government of Guam,T1-2500 Diesel,2007-09-01 00:00:00,State Government
GEPA-UST-131,SKILLED NURSING UNIT,449 North Sabana Drive,Barrigada,Government of Guam,T1-8000 Diesel,1995-04-01 00:00:00,State Government
GEPA-UST-132,"MENTAL HEALTH &
SUBSTANCE ABUSE","790 Gov. Carlos G. Camacho
Road",Tamuning,Government of Guam,T1-1000 Diesel,1993-12-01 00:00:00,State Government
GEPA-UST-135,Layon  Landfill,1130 Chalan Layon Inarajan,Inarajan,Government of Guam,T1-1000 OWS,2011-01-01 00:00:00,State Government
GEPA-UST-137,Guam Area Fuel Division,"Building 1700 Marine Corps
Drive",Piti,U.S. Naval Forces Marianas,"T1 thru T18-40800000
Hazardous  Substance",1952-12-01 00:00:00,"U.S. Naval Forces
Marianas"
GEPA-UST-137,Guam Area Fuel Division,Building 1700 Marine Corps Drive,Piti,U.S. Naval Forces Marianas,"T19 & T20-4200000
Hazardous  Substance",1954-12-01 00:00:00,U.S. Naval Forces Marianas
GEPA-UST-137,Guam Area Fuel Division,"Building 1700 Marine Corps
Drive",Piti,U.S. Naval Forces Marianas,"T21 & T22-4200000
Hazardous  Substance",1957-12-01 00:00:00,"U.S. Naval Forces
Marianas"
GEPA-UST-137,Guam Area Fuel Division,Building 1700 Marine Corps Drive,Piti,U.S. Naval Forces Marianas,"T23 thru T27-12000000
Hazardous  Substance",1960-12-01 00:00:00,U.S. Naval Forces Marianas
GEPA-UST-138,"Andy III, Tanks 19,20,21,22,23,24","Bldg. 14513 - 14510
Andy III Tank Farm, AAFB",Yigo,Andersen AFB,"T1 thru T6-26656729
Hazardous  Substance",1984-12-01 00:00:00,Andersen AFB
GEPA-UST-139,Guam Memorial Hospital Authority  (Decon),850 Governor Carlos Camacho Road,Tamuning,Government of Guam,T1-1000  Hazardous Substance,2013-06-01 00:00:00,Government of Guam
