FacilityID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
GEPA-UST-039,Ipan Mobil Service Station,"251 North Chalan Antigo Street Route 4 Ipan, GU",Active,Yes,,,,2,,1987-03-31 00:00:00,,Fiberglass Reinforced Plastic,,,,,FRP,,,1987-03-31 00:00:00,,,,
GEPA-UST-041,Liguan Mobil Service Station,"Bldg 479 Faima Street Dededo, GU 92929",Active,Yes,,,,3,,2006-05-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2006-05-31 00:00:00,,,,
GEPA-UST-042,Maite Mobil Service Station,"Bldg 860 West Rt 4 Barrigada, GU 96913",Active,Yes,,,,4,,1995-07-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1995-07-01 00:00:00,,,,
GEPA-UST-043,Mangilao Mobil Service Station,"493 South Route 10 Mangilao, GU",Active,Yes,,,,3,,2004-04-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2004-04-01 00:00:00,,,,
GEPA-UST-045,Onward Agana Beach Resort,"445 Governor Carlos G Camacho Rd Tamuning, GU",Active,Yes,,,,3,,1990-03-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,Secondary Containment,1990-03-01 00:00:00,,,,
GEPA-UST-049,Sinajana Mobil Service Station,"Bldg 118 Chalan Canton tutujuan Sinajana, GU",Active,Yes,,,,3,,1995-05-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1995-05-01 00:00:00,,,,
GEPA-UST-051,Tamuning Mobil Service Station,"Bldg 706 South Marine Corps Drive Tamuning, GU",Active,Yes,,,,3,,1990-05-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1990-05-01 00:00:00,,,,
GEPA-UST-052,Upper Tumon Mobi Service Station,"422 North Marine Corps Drive Tamuning, GU",Active,Yes,,,,3,,1996-04-01 00:00:00,Double-walled,Composite (Steel w/ FRP),,,,,FRP,,,1996-04-01 00:00:00,,,,
GEPA-UST-054,Yigo North Mobil Service Station,"214 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",Active,Yes,,,,4,,2018-12-05 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2018-12-05 00:00:00,,,,
GEPA-UST-055,Yigo Perez Acres Mobil Service Station,"465 Marine Corps Drive Yigo, GU 96929",Active,Yes,,,,3,,2018-08-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2018-08-31 00:00:00,,,,
GEPA-UST-056,Yona Mobil Service Station,"1552 North Kanton Tasi Street Yona, GU",Active,Yes,,,,4,,1994-08-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-08-31 00:00:00,,,,
GEPA-UST-057,Ysengsong Mobil Service Station,"Bldg 240 East Marine Corps Drive Dededo, GU 96929",Active,Yes,,,,4,,2003-07-01 00:00:00,Doubnle-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2003-07-01 00:00:00,,,,
GEPA-UST-058,Nissan Upper Tumon,"1012 North Marine Corps Drive Tamuning, GU",Active,Yes,,,,2,,2016-08-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2016-08-31 00:00:00,,,,
GEPA-UST-059,Oka Towers Condominium,"Suite 1514 162 Western Blvd Tamuning, GU",Active,Yes,,,,1,,1989-01-31 00:00:00,,Epoxy Coated Steel,,,,,,X,Secondary Containment,1989-01-31 00:00:00,,,,
GEPA-UST-060,Onard Mangilao Golf Club,"1810 Rt 15 Pagat Mangilao, GU",Active,Yes,,,,1,,1999-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1999-12-31 00:00:00,,,,
GEPA-UST-061,Onward Talofofo Golf Club,"825 Route 4A Talofofo, GU",Active,Yes,,,,5,,1992-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1992-12-31 00:00:00,,,,
GEPA-UST-062,Pacific Islands Club Guam,"210 Pale San Vitores Road Tamuning, GU",Active,Yes,,,,2,,1985-07-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1985-07-31 00:00:00,,,,
GEPA-UST-063,Reflection Center,"222 Chalan Santo Papa Suite 304 Hagatna, GU 96910",Active,Yes,,,,1,,1989-01-31 00:00:00,,Fiberglass Reinforced Plastic,,,,,FRP,,,1989-01-31 00:00:00,,,,
GEPA-UST-064,Alupang Beach Club,"997 South Marine Drive Tamunin,g GU",Active,Yes,,,,1,,1991-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-12-31 00:00:00,,,,
GEPA-UST-065,Shell/Foody's Barrigada ,"446 West Rt 8 Brrigada, GU 96913",Active,Yes,,,,5,,1988-12-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1988-12-01 00:00:00,,,,
GEPA-UST-066,Shell Chalan Pago,"160 North Chalan Kanton Tasi Rt 4 Chalan Pago, GU",Active,Yes,,,,3,,1998-11-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1998-11-30 00:00:00,,,,
GEPA-UST-067,Shell/Foody's Dededo,"184 East Marine Corps Drive Dededo, GU 96929",Active,Yes,,,,3,,2004-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2004-12-31 00:00:00,,,,
GEPA-UST-068 ,Shell/Foody;s Hagatna,"380 East Marine Corps Drive Rt 1 Hagatna, GU 96910",Active,Yes,,,,3,,2005-05-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2005-05-31 00:00:00,,,,
GEPA-UST-146,Shell/Foody's Harmon,"1779 Rt 16 Tamuing, GU",Active,Yes,,,,3,,2018-01-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2018-01-01 00:00:00,,,,
GEPA-UST-070,Hotel Nikko Guam,"245 Gun Beach Road Tamuning, GU ",Active,Yes,,,,2,,1991-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-12-31 00:00:00,,,,
GEPA-UST-071,Shell Foody's Mangilao,"480 South Rt 10 Mangilao, GU",Active,Yes,,,,2,,1989-01-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1989-01-31 00:00:00,,,,
GEPA-UST-072,Shell/Foody's NCS,"1822 NCS Finegayan Dededo, GU",Active,Yes,,,,3,,2002-01-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2002-01-31 00:00:00,,,,
GEPA-UST-140,Shell Foody's Micro Mall/JIB,"1355 Rt 1 North Marine Corps Drive Eupper Tumon, GU",Active,Yes,,,,4,,2014-03-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2014-03-30 00:00:00,,,,
GEPA-UST-073,Onward Mangilao Golf Course,"1810 Route 15 Pagat Mangilao, GU",Active,Yes,,,,2,,1991-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-12-31 00:00:00,,,,
GEPA-UST-075,Shell Tamuning,"180 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",Active,Yes,,,,3,,1991-12-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1991-12-31 00:00:00,,,,
GEPA-UST-076,Shell Tiyan,"111 Tiyan Route 10 Barrigada, GU 96913",Active,Yes,,,,2,,2002-07-31 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,2002-07-31 00:00:00,,,,
GEPA-UST-077,Shell Foody's Tumon ,"280 North Marine Corps Drive Upper Tumon Tamuning, GU",Active,Yes,,,,4,,1989-12-29 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1989-12-29 00:00:00,,,,
GEPA-UST-078,Shell Foody's Yigo,"214 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",Active,Yes,,,,3,,1994-12-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-12-30 00:00:00,,,,
GEPA-UST-079,Rihga Royal Laguna Resort,"470 Farenholt Avenue Tamuning, GU",Active,Yes,,,,2,,1990-12-01 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1990-12-01 00:00:00,,,,
GEPA-UST-080,Hyatt Regency Guam,"115 San Vitores Road Tamuning, GU",Active,Yes,,,,2,,1993-04-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1993-04-30 00:00:00,,,,
GEPA-UST-081,Leo Palace Resort,"Mannnegon Hills Yona, GU",Active,Yes,,,,5,,1992-09-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic/Cathodically Protected Steel,,,,,FRP,,,1992-09-30 00:00:00,,,,
GEPA-UST-083,Lufthansa Service (LSG),"166 Guerrero St Harmon Industrial Park Tamuning, GU",Active,Yes,,,,1,,1993-09-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1993-09-30 00:00:00,,,,
GEPA-UST-084,76 Agat Station,"Route 2 Lot 33-1-1-1 Agat, GU",Active,Yes,,,,3,,1994-11-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-11-30 00:00:00,,,,
GEPA-UST-085,76 Airport Station,"Intersections of Rt1 & Rt10ATamunin,g GU",Active,Yes,,,,3,,1994-09-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1994-09-30 00:00:00,,,,
GEPA-UST-086,76 Anigua Station,"Rt 1 Anigua, GU",Active,Yes,,,,3,,1992-04-30 00:00:00,Double-walled,Fiberglass Reinforced Plastic,,,,,FRP,,,1992-04-30 00:00:00,,,,
