FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,PipingStyle,SafeSuction,AmericanSuction,HighPressureOrBulkPiping,PipingMaterialFRP,PipingMaterialGalSteel,PipingMaterialStainlessSteel,PipingMaterialSteel,PipingMaterialCopper,PipingMaterialFlex,PipingMaterialNoPiping,PipingMaterialOther,PipingMaterialUnknown,PipingFlexConnector,PipingCorrosionProtectionSacrificialAnode,PipingCorrosionProtectionImpressedCurrent,PipingCorrosionProtectionCathodicNotRequired,PipingCorrosionProtectionOther,PipingCorrosionProtectionUnknown,PipingLineLeakDetector,PipingAutomatedIntersticialMonitoring,PipingLineTestAnnual,PipingLineTest3yr,PipingGroundwaterMonitoring,PipingVaporMonitoring,PipingInterstitialMonitoring,PipingStatisticalInventoryReconciliation,PipingReleaseDetectionOther,PipingSubpartKLineTest,PipingSubpartKOther,PipeTankTopSump,PipeTankTopSumpWallType,PipingWallType,PipeTrenchLiner,PipeSecondaryContainmentOther,PipeSecondaryContainmentUnknown
GEPA-UST-056,,Yona Mobil Service Station,"1552 North Kanton Tasi Street Yona, GU",GEPA-UST-056,,Pressurized,,,X,,,,,,X,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-057,,Ysengsong Mobil Service Station,"Bldg 240 East Marine Corps Drive Dededo, GU 96929",GEPA-UST-057,,Pressurized,,,X,,,,,,X,,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-058,,Nissan Upper Tumon,"1012 North Marine Corps Drive Tamuning, GU",GEPA-UST-058,,"Pressurized, Gravity Fed",,,X (Gas),X (Gas),,,,,X (Used Oil),,,,,,,,FRP,,X,X,X,X,,,,,,,,,,,,,
GEPA-UST-059,,Oka Towers Condominium,"Suite 1514 162 Western Blvd Tamuning, GU",GEPA-UST-059,,Safe Suction,X,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,
GEPA-UST-060,,Onard Mangilao Golf Club,"1810 Rt 15 Pagat Mangilao, GU",GEPA-UST-060,,Gravity Fed,,,,X,,,,,,,,,,,,,FRP,,,,X,X,,,,,,,,,,,,,
GEPA-UST-061,,Onward Talofofo Golf Club,"825 Route 4A Talofofo, GU",GEPA-UST-061,,Safe Suction,X,,,X,,,,,,,,,,,,,FRP,,,X,X,X,,,,,,,,,,,,,
GEPA-UST-062,,Pacific Islands Club Guam,"210 Pale San Vitores Road Tamuning, GU",GEPA-UST-062,,Safe Suction,X,,,X,,,,,,,,,,,,,FRP,,X,,,,,,,,,,,,,,,,
GEPA-UST-063,,Reflection Center,"222 Chalan Santo Papa Suite 304 Hagatna, GU 96910",GEPA-UST-063,,Safe Suction,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X
GEPA-UST-064,,Alupang Beach Club,"997 South Marine Drive Tamunin,g GU",GEPA-UST-064,,Safe Suction,X,,,,,,,,X,,,,,,,,,,,X,X,X,,,,,,,,,,,,,
GEPA-UST-065,,Shell/Foody's Barrigada ,"446 West Rt 8 Brrigada, GU 96913",GEPA-UST-065,,Pressurized,,,X,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
GEPA-UST-066,,Shell Chalan Pago,"160 North Chalan Kanton Tasi Rt 4 Chalan Pago, GU",GEPA-UST-066,,Pressurized,,,X,,,,,,X,,,,,,,,,,x,x,,,,,,,,,,,,,,,
GEPA-UST-067,,Shell/Foody's Dededo,"184 East Marine Corps Drive Dededo, GU 96929",GEPA-UST067,,Pressurized,,,X,,,,,,X,,,,,,,,,,x,x,,,,,,,,,,,,,,,
GEPA-UST-068 ,,Shell/Foody;s Hagatna,"380 East Marine Corps Drive Rt 1 Hagatna, GU 96910",GEPA-UST-068,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,
GEPA-UST-146,,Shell/Foody's Harmon,"1779 Rt 16 Tamuing, GU",GEPA-UST-146,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,,,,,,,X,,,,,,,,,
GEPA-UST-070,,Hotel Nikko Guam,"245 Gun Beach Road Tamuning, GU ",GEPA-UST-070,,Pressurized,,,X,,,,,,X,,,,,,,,,,,,X,X,,,,,,,,,,,,,
GEPA-UST-071,,Shell Foody's Mangilao,"480 South Rt 10 Mangilao, GU",GEPA-UST-071,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,
GEPA-UST-072,,Shell/Foody's NCS,"1822 NCS Finegayan Dededo, GU 96929",GEPA-UST-072,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,
GEPA-UST-140,,Shell Foody's Micro Mall/JIB,"1355 Rt 1 North Marine Corps Drive Eupper Tumon, GU",GEPA-UST-140,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,,,,,,,,,,,,,,,,,
GEPA-UST-073,,Onward Mangilao Golf Course,"1810 Route 15 Pagat Mangilao, GU",GEPA-UST-073,,Safe Suction,X,,,X,,,,,,,,,,,,,FRP,,,,X,X,,,,,,,,,,,,,
GEPA-UST-075,,Shell Tamuning,"180 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",GEPA-UST-075,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,,,,,,,,,,,,,,,
GEPA-UST-076,,Shell Tiyan,"111 Tiyan Route 10 Barrigada, GU 96913",GEPA-UST-076,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,
GEPA-UST-077,,Shell Foody's Tumon ,"280 North Marine Corps Drive Upper Tumon Tamuning, GU",GEPA-UST-077,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,,,,,,,,,,,,,,,,
GEPA-UST-078,,Shell Foody's Yigo,"214 Chalan Pale Ramon Haya Rt 1 Yigo, GU 96929",GEPA-UST-078,,Pressurized,,,X,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,,
GEPA-UST-079,,Rihga Royal Laguna Resort,"470 Farenholt Avenue Tamuning, GU",GEPA-UST-079,,Unsafe Suction,,,,X,,,,,,,,,,,,,FRP,,,,X,X,,,,,,,,,,,,,
GEPA-UST-080,,Hyatt Regency Guam,"115 San Vitores Road Tamuning, GU",GEPA-UST-080,,Pressurized,,,X,X,,,,,,,,,,,,,FRP,,X,X,,,,,,,,,,,,,,,
GEPA-UST-081,,Leo Palace Resort,"Mannnegon Hills Yona, GU",GEPA-UST-081,,Safe Suction/Pressurized,,2x,3x,1x,3x,,,,1x,,,,,,,,FRP,,X,X,,,,,,,,,,,,,,,
