Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
3106584,MONONGALIA COUNTY BOARD OF EDUCATION,BLACKSVILLE BUS GARAGE,UNKNOWN,BLACKSVILLE,26521,Monongalia,1,1976-09-11,Steel,1,Permanently Out of Service,Yes,1989-07-15,3000.0,Gasoline
3106584,MONONGALIA COUNTY BOARD OF EDUCATION,BLACKSVILLE BUS GARAGE,UNKNOWN,BLACKSVILLE,26521,Monongalia,2,1960-09-11,Steel,1,Permanently Out of Service,Yes,1976-08-15,1000.0,Gasoline
3107952,"UMSTOTT, INC.",7-ELEVEN # 35937,6205 MASON DIXON HWY,BLACKSVILLE,26521,Monongalia,1,1986-01-07,Composite,1,Currently In Use,Yes,,8000.0,Gasoline
3109157,CONSOLIDATION COAL COMPANY,BLACKSVILLE 1 PREP PLANT,COUNTY RT 7/12,BLACKSVILLE,26521,Monongalia,-1,1973-01-01,Steel,1,Permanently Out of Service,Yes,1993-12-16,5000.0,Hazardous Substance
3109300,UNCERTAIN/UNKNOWN,BOB BENNETT FORD,RT 7 & 218 PO BOX 67,BLACKSVILLE,26521,Monongalia,-2,1930-01-01,Steel,1,Permanently Out of Service,Yes,1995-10-11,550.0,Gasoline
3109300,UNCERTAIN/UNKNOWN,BOB BENNETT FORD,RT 7 & 218 PO BOX 67,BLACKSVILLE,26521,Monongalia,-1,1970-01-01,Steel,1,Permanently Out of Service,Yes,1995-10-11,500.0,Gasoline
208159,"TURNER, TOM",LARRY'S SUB SHOP,RT 45,BLAIR,25022,Berkeley,-2,,Steel,1,Permanently Out of Service,Yes,1992-04-29,550.0,Gasoline
208159,"TURNER, TOM",LARRY'S SUB SHOP,RT 45,BLAIR,25022,Berkeley,-1,,Steel,1,Permanently Out of Service,Yes,1992-04-29,550.0,Gasoline
2302863,"BURGESS, PAUL T",BURGESS CHEVRON,US RT 119 ST HWY 17,BLAIR,25022,Logan,-5,1967-03-05,Steel,1,Permanently Out of Service,Yes,1995-06-01,500.0,Other
2302863,"BURGESS, PAUL T",BURGESS CHEVRON,US RT 119 ST HWY 17,BLAIR,25022,Logan,-4,1967-03-05,Steel,1,Permanently Out of Service,Yes,1995-06-01,500.0,Other
2302863,"BURGESS, PAUL T",BURGESS CHEVRON,US RT 119 ST HWY 17,BLAIR,25022,Logan,-3,1977-03-05,Steel,1,Permanently Out of Service,Yes,1995-06-01,7000.0,Other
2302863,"BURGESS, PAUL T",BURGESS CHEVRON,US RT 119 ST HWY 17,BLAIR,25022,Logan,-2,1977-03-05,Steel,1,Permanently Out of Service,Yes,1995-06-01,3000.0,Gasoline
2302863,"BURGESS, PAUL T",BURGESS CHEVRON,US RT 119 ST HWY 17,BLAIR,25022,Logan,-1,1977-03-05,Steel,1,Permanently Out of Service,Yes,1995-06-01,3000.0,Gasoline
2302946,RALEIGH-BOONE SERVICE COMPANY,HOBERT CONLEY DBA L & M GROCERIE,GENERAL DELIVERY,BLAIR,25022,Logan,-2,1969-12-01,Steel,1,Permanently Out of Service,Yes,1991-10-22,2000.0,Gasoline
2302946,RALEIGH-BOONE SERVICE COMPANY,HOBERT CONLEY DBA L & M GROCERIE,GENERAL DELIVERY,BLAIR,25022,Logan,-1,1969-12-01,Steel,1,Permanently Out of Service,Yes,1991-10-22,2000.0,Gasoline
526895,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Brooke,1,,Steel,1,Permanently Out of Service,No,,9990.0,
526895,UNKNOWN,UNKNOWN,BLANK,BLANK,BLANK,Brooke,2,,Steel,1,Permanently Out of Service,No,,9990.0,
