FacilityID,tank_name,Tank Type,Tank Use,Status,OCC Exempt,Compartments,Capacity,InstalledDate,Tank Material,Tank Construction,Manifold,LastUsedDate,ClosedDate,InPlaceApproval,SiteAssessment,Facility,Latitude,Longitude
5302,2.0,UST,Retail,CIU,False,1,12000,4/22/1981,Steel,Single Walled,False,,,False,False,Quick & Easy Stores Inc #8,35.4116,-99.4404
5302,3.0,UST,Retail,CIU,False,1,12000,4/22/1981,Steel,Single Walled,False,,,False,False,Quick & Easy Stores Inc #8,35.4116,-99.4404
6011,4.0,UST,Retail,CIU,False,1,12000,12/1/1997,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Hutch's #103,35.4079,-99.4713
6011,5.0,UST,Retail,CIU,False,1,12000,12/1/1997,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Hutch's #103,35.4079,-99.4713
6011,6.0,UST,Retail,CIU,False,1,10000,12/1/1997,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Hutch's #103,35.4079,-99.4713
6011,7.0,UST,Retail,CIU,False,1,8000,12/1/1997,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Hutch's #103,35.4079,-99.4713
10283,3.0,UST,Retail,CIU,False,1,8000,3/1/1993,Steel,Single Walled,False,,,False,False,Hutch's 126,35.393,-99.4057
10283,4.0,UST,Retail,CIU,False,1,8000,3/1/1993,Steel,Single Walled,False,,,False,False,Hutch's 126,35.393,-99.4057
10283,5.0,UST,Retail,CIU,False,1,8000,3/1/1993,Steel,Single Walled,False,,,False,False,Hutch's 126,35.393,-99.4057
10283,6.0,UST,Retail,CIU,False,2,20000,1/1/2007,Steel With Fiberglass,Single Walled,False,,,False,False,Hutch's 126,35.393,-99.4057
11378,1.0,UST,Retail,CIU,False,1,12000,4/18/1989,Steel,Single Walled,False,,,False,False,Love's Country Store #253,35.2239,-99.869
11378,2.0,UST,Retail,CIU,False,1,12000,4/18/1989,Steel,Single Walled,False,,,False,False,Love's Country Store #253,35.2239,-99.869
11378,3.0,UST,Retail,CIU,False,1,12000,4/18/1989,Steel,Single Walled,False,,,False,False,Love's Country Store #253,35.2239,-99.869
11378,4.0,UST,Retail,CIU,False,1,20000,4/18/1989,Steel,Single Walled,False,,,False,False,Love's Country Store #253,35.2239,-99.869
11378,5.0,UST,Retail,CIU,False,1,20000,9/1/1994,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store #253,35.2239,-99.869
11720,1.0,UST,Retail,CIU,False,1,6000,11/2/1981,Steel,Single Walled,False,,,False,False,Grab N Go,35.4073,-99.4292
11720,2.0,UST,Retail,CIU,False,1,10000,11/2/1981,Steel,Single Walled,False,,,False,False,Grab N Go,35.4073,-99.4292
13569,1.0,UST,Retail,CIU,False,1,10000,12/1/1994,Steel With Fiberglass,Single Walled,False,2/1/2017,,False,False,Bobcat Creek RV Park & C Store,35.3149,-99.618
13569,2.0,UST,Retail,CIU,False,2,10000,12/1/1994,Steel With Fiberglass,Single Walled,False,2/1/2017,,False,False,Bobcat Creek RV Park & C Store,35.3149,-99.618
13685,1.0,UST,Retail,CIU,False,1,8000,5/1/1995,Steel With Fiberglass,Single Walled,False,,,False,False,TA #152 (Sayre Travel Center),35.3354,-99.5949
13685,3.0,UST,Retail,CIU,False,1,10000,5/1/1995,Steel With Fiberglass,Single Walled,False,,,False,False,TA #152 (Sayre Travel Center),35.3354,-99.5949
13685,4.0,UST,Retail,CIU,False,1,10000,5/1/1995,Steel With Fiberglass,Single Walled,False,,,False,False,TA #152 (Sayre Travel Center),35.3354,-99.5949
13685,5.0,UST,Retail,CIU,False,1,20000,5/1/1995,Steel With Fiberglass,Single Walled,False,,,False,False,TA #152 (Sayre Travel Center),35.3354,-99.5949
13685,6.0,UST,Retail,CIU,False,1,1000,5/1/1995,Steel,Single Walled,False,,,False,False,TA #152 (Sayre Travel Center),35.3354,-99.5949
2149,1.0,UST,Retail,CIU,False,1,8000,4/1/1982,Steel,Single Walled,False,,,False,False,Wheeler Brothers Grain Co Inc,35.7292,-98.3777
2149,2.0,UST,Retail,CIU,False,1,12000,4/1/1979,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Wheeler Brothers Grain Co Inc,35.7292,-98.3777
2149,3.0,UST,Retail,CIU,False,1,12000,4/3/1981,Fiberglass Reinforced Plastic,Single Walled,False,,,False,False,Wheeler Brothers Grain Co Inc,35.7292,-98.3777
2155,1.0,UST,Retail,CIU,False,1,6000,4/3/1975,Steel,Single Walled,False,,,False,False,Maib Short Stop,35.6323,-98.3172
2381,1.0,UST,Retail,CIU,False,1,10000,11/1/1970,Steel,Single Walled,False,,,False,False,Farmers Service Station,36.1226,-98.3169
2381,2.0,UST,Retail,CIU,False,1,10000,11/1/1970,Steel,Single Walled,False,,,False,False,Farmers Service Station,36.1226,-98.3169
3164,5.0,UST,Retail,CIU,False,1,12000,9/1/1995,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store #1,35.8417,-98.4157
3164,6.0,UST,Retail,CIU,False,2,12000,9/1/1995,Steel With Fiberglass,Single Walled,False,,,False,False,Love's Country Store #1,35.8417,-98.4157
3929,1.0,UST,Retail,CIU,False,1,10000,4/8/1981,Steel,Single Walled,False,,,False,False,Canton One Stop,36.0537,-98.5925
3929,2.0,UST,Retail,CIU,False,1,8000,4/8/1981,Steel,Single Walled,False,,,False,False,Canton One Stop,36.0537,-98.5925
3929,3.0,UST,Retail,CIU,False,1,4000,4/8/1985,Steel,Single Walled,False,,,False,False,Canton One Stop,36.0537,-98.5925
4045,4.0,UST,Retail,CIU,False,1,10000,1/1/1996,Steel With Fiberglass,Single Walled,False,,,False,False,Hitchcock,35.9691,-98.3463
4045,5.0,UST,Retail,CIU,False,1,10000,1/1/1996,Steel With Fiberglass,Single Walled,False,,,False,False,Hitchcock,35.9691,-98.3463
7975,1.0,UST,Retail,CIU,False,1,10000,5/1/1974,Steel,Single Walled,False,,,False,False,ASAP General Store #301,35.6365,-98.3178
7975,2.0,UST,Retail,CIU,False,1,8000,5/1/1974,Steel,Single Walled,False,,,False,False,ASAP General Store #301,35.6365,-98.3178
7975,3.0,UST,Retail,CIU,False,1,12000,5/1/1974,Steel,Single Walled,False,,,False,False,ASAP General Store #301,35.6365,-98.3178
8887,6.0,UST,Retail,CIU,False,1,20000,11/3/2003,Steel With Fiberglass,Single Walled,False,,,False,False,Hutch's #118,35.8415,-98.4198
8887,7.0,UST,Retail,CIU,False,2,20000,11/3/2003,Steel With Fiberglass,Single Walled,False,,,False,False,Hutch's #118,35.8415,-98.4198
8887,8.0,UST,Retail,CIU,False,1,20000,11/3/2003,Steel With Fiberglass,Single Walled,False,,,False,False,Hutch's #118,35.8415,-98.4198
9945,1.0,UST,Retail,CIU,False,1,6000,5/8/1963,Steel,Single Walled,False,,,False,False,Mark's Service Station,35.8407,-98.4129
9945,2.0,UST,Retail,CIU,False,1,6000,5/8/1963,Steel,Single Walled,False,,,False,False,Mark's Service Station,35.8407,-98.4129
9945,3.0,UST,Retail,CIU,False,1,8000,5/8/1963,Steel,Single Walled,False,,,False,False,Mark's Service Station,35.8407,-98.4129
9945,4.0,UST,Retail,CIU,False,1,6000,5/8/1975,Steel,Single Walled,False,,,False,False,Mark's Service Station,35.8407,-98.4129
12340,1.0,UST,Retail,CIU,False,1,10000,1/1/1980,Steel,Single Walled,False,,,False,False,Hop N Shop #8,36.1302,-98.5481
12340,2.0,UST,Retail,CIU,False,1,6000,1/1/1980,Steel,Single Walled,False,,,False,False,Hop N Shop #8,36.1302,-98.5481
12340,3.0,UST,Retail,CIU,False,1,4000,1/1/1980,Steel,Single Walled,False,,,False,False,Hop N Shop #8,36.1302,-98.5481
