CounterID,EventID,Status,Lead,StatusDate,LUSTStatusCommentsText,ProjectOfficer
6670,1958,LUST Cleanup Initiated,RP-Lead,2006-07-05,reports,Richard Takaba
6671,1894,Site Assessment Ongoing,RP-Lead,2009-04-17,"letter dated April 17, 2009, and the attached Groundwater Monitoring Investigation Report, dated April 17, 2009, and prepared by WMF Hawaii Environmental, Inc.",Shaobin Li
6672,2112,2 Year pre-NFA monitoring,RP-Lead,2009-01-09,Date of Release Response Report,Darren Park
6673,2113,2 Year pre-NFA monitoring,RP-Lead,2009-01-09,Date of Release Response Report,Darren Park
6674,1509,Site Cleanup Completed (NFA),RP-Lead,2009-05-07,NFA letter U0504RT,Richard Takaba
6676,2186,LUST Cleanup Initiated,RP-Lead,2009-01-26,Date report dated 12/2008 was received.,Darren Park
6678,2211,Confirmed Release,,2009-05-19,release from used oil tank,Shaobin Li
6679,2212,Confirmed Release,RP-Lead,2009-05-26,,Darren Park
6680,2167,Monitored Natural Attenuation,RP-Lead,2009-02-19,Date of January 2009 Quarterly Groundwater Monitoring Report. -DP,Darren Park
6681,1170,2 Year pre-NFA monitoring,RP-Lead,2009-05-21,Date May 2009 Release Response Report received. -DP,Darren Park
6682,613,Site Cleanup Completed (NFA),RP-Lead,2009-06-17,Date of NFA letter.,Darren Park
6683,2186,Site Cleanup Completed (NFA),RP-Lead,2009-06-15,Date of NFA letter.,Darren Park
6684,1150,Site Cleanup Completed (NFA),RP-Lead,2009-06-15,Date of NFA letter.,Darren Park
6685,1560,Site Cleanup Completed (NFA),RP-Lead,2009-06-08,,Josh Nagashima
6686,2213,Confirmed Release,RP-Lead,2009-06-12,,Shunsheng Fu
6687,406,Site Cleanup Completed (NFA),RP-Lead,2009-06-17,,Josh Nagashima
6688,2123,LUST Cleanup Initiated,RP-Lead,2009-06-18,,Josh Nagashima
6689,2206,LUST Cleanup Initiated,RP-Lead,2009-04-21,,Josh Nagashima
6690,2206,Site Cleanup Completed (NFA),RP-Lead,2009-06-18,,Josh Nagashima
6691,2214,Confirmed Release,RP-Lead,2009-03-16,reported via closure rept,Richard Takaba
6692,2215,Confirmed Release,RP-Lead,1992-04-08,,Darren Park
6693,2215,LUST Cleanup Initiated,RP-Lead,1992-04-01,,Darren Park
6694,2215,Exposure Prevention Management Plan,RP-Lead,2006-09-15,,Darren Park
6695,2215,Monitored Natural Attenuation,RP-Lead,2008-04-06,,Darren Park
6697,2215,2 Year pre-NFA monitoring,RP-Lead,2009-03-03,,Darren Park
6698,2216,Confirmed Release,RP-Lead,2009-07-10,,Josh Nagashima
6699,2217,Suspected release,RP-Lead,2009-06-29,george is following up on this,
6700,2218,Confirmed Release,RP-Lead,2009-07-01,release is from the 200 gallon ust - rk,Richard Takaba
6701,1908,Site Cleanup Completed (NFA),RP-Lead,2009-06-08,U0604RT NFA,Richard Takaba
6702,1958,Site Cleanup Completed (NFA),RP-Lead,2009-06-08,U0604RT NFA,Richard Takaba
6703,2214,LUST Cleanup Initiated,RP-Lead,2009-04-06,closure rpt,Richard Takaba
6704,2214,Site Cleanup Completed (NFA),RP-Lead,2009-07-14,U0712RT NFA,Richard Takaba
6705,16,Site Cleanup Completed (NFA),RP-Lead,2009-07-14,U0715RT NFA,Richard Takaba
6706,2203,LUST Cleanup Initiated,RP-Lead,2009-01-15,,Shunsheng Fu
6707,2203,Site Cleanup Completed (NFA),RP-Lead,2009-05-26,,Shunsheng Fu
6709,2219,Confirmed Release,RP-Lead,2009-07-21,arra site,Shaobin Li
6710,2220,Confirmed Release,RP-Lead,2007-08-21,"via report 
dated 9/18/2007 - rk",Josh Nagashima
