Compliance Count ID,Compliance ID,StateSectionNumber,OriginalPenalty,FinalPenalty,SOCType,ComplianceDetailCommentsText,ViolationWithdrawn,ViolationResolved
195,194,,,0.0,,Written Warning: 11/03/97 REC'D THIRD PARTY CERT.,False,False
196,195,,,0.0,,None: INSPECTION W/ROX   NO CITATION CITED. REQUESTED NOTIFICATION FORM TO REFLECT THEIR COMPLIANCE WITH1998 REQUIRMENTS - RK  10/18/99 RECEIVED NOTIFICATION FORM - RK,False,False
197,196,,,0.0,,Written Warning: U1002JS,False,False
198,197,,,0.0,,None: NO CITATION CITED.  JAN ACCOMPANY NORWOOD - RK,False,False
199,198,,,0.0,,"Written Warning: problem with inventory control

11/17/98 SUBMITTED NOTIFIATION FORM.  SEEMS LIKE UPGRADED THEIR UST. -- RK",False,False
200,199,,,0.0,,Written Warning: 7/9/99 REC'D CATHODIC PROTECTION INFORMATION - RK,False,False
202,201,{2000}  51(a),900.0,900.0,Not Detect,"OTHER: 2ea NOIs - 11-15-2000 rec'd written request for 30 day extention.  Granted extention until 12-15-2000. jack   

1/19/2001 RECEIVED CHECK, SIGNED CITATION AND TEST RESULTS AND LTR REQUESTING AN EXTENSION  - RK",False,True
203,202,,,0.0,,Written Warning: U0533RT,False,False
204,203,,,0.0,,Written Warning: U07087AEJ,False,False
205,204,,,0.0,,Written Warning,False,False
206,205,,,0.0,,,False,False
207,206,,,0.0,,Written Warning: 8/11/99 RECEIVED FR. - RK  10/25/99 REQUESTED RECENT COPY OF FR. - RK  11/23/99 RECEIVED - RK,False,False
1143,1134,,,0.0,,,False,False
208,207,,,0.0,,"Written Warning: U11074JS. 12/11/98 RECEIVED CC LTR FROM KEWALO MARINE SERVICES THAT ARE IN PROCESS OF CLOSING USTS.  -RK

3/30/2000 RECEIVED CLOSURE REPT - RK",False,False
209,208,,,0.0,,Written Warning,False,False
210,209,,,0.0,,Written Warning,False,False
211,210,,300.0,300.0,,Field Citation: FINE 300,False,False
212,211,,,0.0,,Written Warning: 3/29/99 UST REMOVED - RK,False,False
213,212,,,0.0,,Written Warning,False,False
214,213,,,0.0,,Written Warning: 6/7/97 UST REMOVED - RK,False,False
215,214,,,0.0,,None: NO FIELD CITATION CITED - RK,False,False
