FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,Piping Style,Safe Suction,American Suction,High Pressure Or Bulk Piping,Piping Material FRP,Piping Material Gal Steel,Piping Material Stainless Steel,Piping Material Steel,Piping Material Copper,Piping Material Flex,Piping Material No Piping,Piping Material Other,Piping Material Unknown,Piping Flex Connector,Piping Corrosion Protection Sacrificial Anode,Piping Corrosion Protection Impressed Current,Piping Corrosion Protection Cathodic Not Required,Piping Corrosion Protection Other,Piping Corrosion Protection Unknown,Piping Line Leak Detector,Piping Automated Intersticial Monitoring,Piping Line Test Annual,Piping Line Test3yr,Piping Groundwater Monitoring,Piping Vapor Monitoring,Piping Interstitial Monitoring,Piping Statistical Inventory Reconciliation,Piping Release Detection Other,Piping Subpart KLine Test,Piping Subpart KOther,Pipe Tank Top Sump,Pipe Tank Top Sump Wall Type,Piping Wall Type,Pipe Trench Liner,Pipe Secondary Containment Other,Pipe Secondary Containment Unknown
4000686,4000686-2,2,4000686-2-1,1,4000686-2-1-1,Suction,Yes,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,Yes,No,No,No,No,No,No,Unknown,,Single walled,No,No,No
4000691,4000691-1,1,4000691-1-1,1,4000691-1-1-1,Other,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000691,4000691-2,2,4000691-2-1,1,4000691-2-1-1,Other,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000691,4000691-3,3,4000691-3-1,1,4000691-3-1-1,Other,No,No,Unknown,No,No,No,No,No,No,No,No,Yes,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000691,4000691-4,4,4000691-4-1,1,4000691-4-1-1,Other,No,No,Unknown,No,No,No,No,No,No,No,No,Yes,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000694,4000694-1,1,4000694-1-1,1,4000694-1-1-1,Pressure,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000694,4000694-2,2,4000694-2-1,1,4000694-2-1-1,Pressure,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000695,4000695-1,1,4000695-1-1,1,4000695-1-1-1,"Non-operational (e.g., fill line, vent line, gravity)",No,No,Unknown,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000695,4000695-2,2,4000695-2-1,1,4000695-2-1-1,"Non-operational (e.g., fill line, vent line, gravity)",No,No,Unknown,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No,Yes,Unknown,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000696,4000696-1,1,4000696-1-1,1,4000696-1-1-1,Suction,Yes,No,Unknown,No,No,No,No,No,No,No,Yes,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000697,4000697-1,1,4000697-1-1,1,4000697-1-1-1,Other,No,No,Unknown,No,No,No,No,No,No,Yes,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,,Single walled,No,No,No
4000698,4000698-1,1,4000698-1-1,1,4000698-1-1-1,Other,No,No,Unknown,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000698,4000698-2,2,4000698-2-1,1,4000698-2-1-1,Other,No,No,Unknown,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000698,4000698-3,3,4000698-3-1,1,4000698-3-1-1,Other,No,No,Unknown,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000699,4000699-1,1,4000699-1-1,1,4000699-1-1-1,Suction,Yes,No,Unknown,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No,Yes,Unknown,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000700,4000700-1,1,4000700-1-1,1,4000700-1-1-1,Suction,Yes,No,Unknown,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No,Yes,Unknown,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000701,4000701-1,1,4000701-1-1,1,4000701-1-1-1,Suction,Yes,No,Unknown,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Unknown,No,No,No,No,No,No,No,Yes,No,No,Unknown,,Single walled,No,No,No
4000709,4000709-1,1,4000709-1-1,1,4000709-1-1-1,Pressure,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000709,4000709-2,2,4000709-2-1,1,4000709-2-1-1,Pressure,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
4000709,4000709-3,3,4000709-3-1,1,4000709-3-1-1,Pressure,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,,Double walled,No,Unknown,No
