FacilityID,TankID,TankName,TankLocation,TankStatus,FederallyRegulated,FieldConstructed,EmergencyGenerator,AirportHydrantSystem,MultipleTanks,TankClosureDate,TankInstallationDate,CompartmentalizedUST,NumberOfCompartments,TankMaterialDescription,TankCorrosionProtectionSacrificialAnode,TankCorrosionProtectionImpressedCurrent,TankCorrosionProtectionCathodicNotRequired,TankCorrosionProtectionInteriorLining,TankCorrosionProtectionOther,TankCorrosionProtectionUnknown,TankSecondaryContainment,CertOfInstallation,CertOfInstallationOther,DispenserID,DispenserUDC,DispenserUDCWallType
4252159,14071,1976-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1976.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4252159,14072,1976-2,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1976.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4252159,14073,1978-4,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1978.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4252159,14074,1980-3,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1980.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4252431,14088,1998-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,Yes,2,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4252637,14089,1977-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1977.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4263577,14091,1976-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1976.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4292141,19282,2022-4-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4292141,19149,2022-1-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,3,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4292141,19150,2022-2-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4292141,19151,2022-3-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4292141,19348,2022-DEF,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4335353,14104,1998-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4342564,14111,2002-4-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,2002.0,Yes,2,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4395830,14113,1971-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1971.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4395830,14114,1971-2,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1971.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4422105,14117,1994-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1994.0,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4422680,14118,1979-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1979.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4422705,14121,1997-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1997.0,Yes,2,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4422705,16609,2009-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4422705,16610,2009-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4422705,16611,2009-4,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4422736,14128,1956-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1956.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4422911,14130,2001-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,2001.0,No,1,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4423145,14135,1998-1-3,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1998.0,Yes,3,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4423994,18089,2015-1,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4423994,18090,2015-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4424264,14144,1991-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1991.0,No,1,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4425144,14152,1993-1-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,1993.0,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4425144,14153,1993-2-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,1993.0,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4425144,14154,1993-3-M,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,Yes,,1993.0,No,1,Protected steel fiberglass lined,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4425144,14155,1993-4,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1993.0,No,1,Protected steel fiberglass lined,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4425401,15860,2007-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4426130,14174,1971-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1971.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4426361,14182,1999-3,Underground (entirely buried),ACTIVE,Yes,Unknown,Yes,Unknown,No,,1999.0,No,1,Fiberglass jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4428000,14184,1991-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1991.0,No,1,Protected steel,No,No,No,No,Yes,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4428547,14187,1974-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1974.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4428611,14191,1995-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,1995.0,Yes,2,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4429873,17997,2015-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4429873,17998,2015-2-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4462141,15762,2007-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,,No,1,Polyethylene jacketed steel,No,No,Yes,No,No,Unknown,Jacketed,Unknown,Unknown,Unknown,Unknown,Unknown
4462153,14219,1966-1,Underground (entirely buried),ACTIVE,No,Unknown,No,Unknown,No,,1966.0,No,1,Unprotected Steel,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
4469935,18309,2016-1-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
4469935,18310,2016-2-2,Underground (entirely buried),ACTIVE,Yes,Unknown,No,Unknown,No,,,Yes,2,Fiberglass reinforced plastic,No,No,Yes,No,No,Unknown,Double wall,Unknown,Unknown,Unknown,Unknown,Unknown
