FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,PipingStyle,SafeSuction,AmericanSuction,HighPressureOrBulkPiping,PipingMaterialFRP,PipingMaterialGalSteel,PipingMaterialStainlessSteel,PipingMaterialSteel,PipingMaterialCopper,PipingMaterialFlex,PipingMaterialNoPiping,PipingMaterialOther,PipingMaterialUnknown,PipingFlexConnector,PipingCorrosionProtectionSacrificialAnode,PipingCorrosionProtectionImpressedCurrent,PipingCorrosionProtectionCathodicNotRequired,PipingCorrosionProtectionOther,PipingCorrosionProtectionUnknown,PipingLineLeakDetector,PipingAutomatedIntersticialMonitoring,PipingLineTestAnnual,PipingLineTest3yr,PipingGroundwaterMonitoring,PipingVaporMonitoring,PipingInterstitialMonitoring,PipingStatisticalInventoryReconciliation,PipingReleaseDetectionOther,PipingSubpartKLineTest,PipingSubpartKOther,PipeTankTopSump,PipeTankTopSumpWallType,PipingWallType,PipeTrenchLiner,PipeSecondaryContainmentOther,PipeSecondaryContainmentUnknown
44,6963,1997-1-2,6963,A,6963,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
44,6963,1997-1-2,6964,B,6964,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
48,19384,2023-1-3,23836,C,24109,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
48,19384,2023-1-3,23834,A,24107,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
48,19384,2023-1-3,23835,B,24108,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
48,16012,-1-3,16228,A,16361,Unknown,Unknown,Unknown,Unknown,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
53,6982,1992-1-2,6987,A,6987,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
53,6982,1992-1-2,6988,B,6988,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
54,6986,1995-1-2,6992,A,6992,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
54,6986,1995-1-2,16182,B,16308,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
55,6990,1997-1-2,6996,A,6996,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
55,6990,1997-1-2,6997,B,6997,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
56,7001,1992-4,7008,A,7008,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
56,7002,1997-1,7009,A,7009,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
56,7003,1997-2,7010,A,7010,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
57,7009,1996-1-2,7016,A,7016,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
57,7009,1996-1-2,7017,B,7017,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
57,7010,1996-2-2,7018,A,7018,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
57,7010,1996-2-2,7019,B,7019,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
58,7014,1997-1-2,7023,A,7023,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
58,7014,1997-1-2,7024,B,7024,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
58,7015,1997-2,7025,A,7025,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
59,7021,1997-2,7032,A,7032,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
59,7020,1997-1-2,7030,A,7030,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
59,7020,1997-1-2,7031,B,7031,Pressure,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,Yes,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
60,7025,1993-1-2,7036,A,7036,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
60,7025,1993-1-2,7037,B,7037,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
60,7026,1993-2-2,7038,A,7038,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
60,7026,1993-2-2,7039,B,7039,Suction,Unknown,Unknown,Unknown,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
61,7029,1994-1-2,7042,A,7042,Suction,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
61,7029,1994-1-2,7043,B,7043,Suction,Unknown,Unknown,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,,No,No,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
