FacilityID,TankID,TankName,CompartmentID,CompartmentName,PipingID,PipingStyle,SafeSuction,AmericanSuction,HighPressureOrBulkPiping,PipingMaterialFRP,PipingMaterialGalSteel,PipingMaterialStainlessSteel,PipingMaterialSteel,PipingMaterialCopper,PipingMaterialFlex,PipingMaterialNoPiping,PipingMaterialOther,PipingMaterialUnknown,PipingFlexConnector,PipingCorrosionProtectionSacrificialAnode,PipingCorrosionProtectionImpressedCurrent,PipingCorrosionProtectionCathodicNotRequired,PipingCorrosionProtectionOther,PipingCorrosionProtectionUnknown,PipingLineLeakDetector,PipingAutomatedIntersticialMonitoring,PipingLineTestAnnual,PipingLineTest3yr,PipingGroundwaterMonitoring,PipingVaporMonitoring,PipingInterstitialMonitoring,PipingStatisticalInventoryReconciliation,PipingReleaseDetectionOther,PipingSubpartKLineTest,PipingSubpartKOther,PipeTankTopSump,PipeTankTopSumpWallType,PipingWallType,PipeTrenchLiner,PipeSecondaryContainmentOther,PipeSecondaryContainmentUnknown
3-000142,3,3,3082,3,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000144,2,2,3085,2,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000144,3,3,3086,3,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000145,1,1,3087,1,,Pressure,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000145,2,2,3088,2,,Pressure,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000145,3,3,3089,3,,Unknown,No,No,No,No,Yes,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000146,2,2,3093,2,,Suction,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000146,3,3,3094,3,,Suction,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Double Walled,No,No,No
3-000146,4,1,3095,1,,Suction,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000147,1,1,3096,1,,Pressure,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000149,1,1,3099,1,,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000149,2,2,3100,2,,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000149,3,3,3101,3,,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000149,4,4,3102,4,,Unknown,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
3-000149,5,5,3103,5,,Unknown,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,Single Walled,No,No,No
