FacilityID,FacilityName,OwnerType,FacilityType1,FacilityType2,FacilityAddress1,FacilityAddress2,FacilityCity,FacilityCounty,FacilityZipCode,FacilityState,FacilityEPARegion,FacilityTribalSite,FacilityTribe,FacilityLatitude,FacilityLongitude,FacilityCoordinateSource,FacilityOwnerCompanyName,FacilityOperatorCompanyName,FinancialResponsibilityObtained,FinancialResponsibilityBondRatingTest,FinancialResponsibilityCommercialInsurance,FinancialResponsibilityGuarantee,FinancialResponsibilityLetterOfCredit,FinancialResponsibilityLocalGovernmentFinancialTest,FinancialResponsibilityRiskRetentionGroup,FinancialResponsibilitySelfInsuranceFinancialTest,FinancialResponsibilityStateFund,FinancialResponsibilitySuretyBond,FinancialResponsibilityTrustFund,FinancialResponsibilityOtherMethod,USTReportedRelease,AssociatedLUSTID,DispenserID,DispenserUDC,DispenserUDCWallType
5-000639,Venables & Sons Inc,Private Organization,Contractor,,215 Mechanic Street,,Laurel,Sussex,19956,DE,3,,,38.5553,-75.5741,Map interpolation,WB Venables & Sons,,No,,,,,,,,No,,,,,,,,
5-000640,AP Croll & Son Inc,Private Organization,Contractor,,22997 Lewes Georgetown Hwy,,Georgetown,Sussex,19947,DE,3,,,38.7091,-75.3358,Map interpolation,AP Croll & Son,,No,,,,,,,,No,,,,Yes,S9208214,,,
5-000644,Scotts Country Store,Person,Retail fuel sales (non-marina),,4568 Seashore Hwy,RT 2 Box 108,Bridgeville,Sussex,19933,DE,3,,,38.7804,-75.6673,Map interpolation,"Martin, John & Roberta ",,No,,,,,,,,No,,,,Yes,S9104058,,,
5-000645,"Amick Farms, LLC",Private Organization,Industrial,,10392 Allens Mill Road,,Delmar,Sussex,19940,DE,3,,,38.48,-75.5748,Map interpolation,"Amick Farms, LLC",,Yes,NO,YES,NO,NO,NO,,NO,No,NO,NO,,Yes,S9205128,,,
5-000646,Murray Motors Inc,Private Organization,Commercial,,30028 Vines Creek Rd,,Dagsboro,Sussex,19939,DE,3,,,38.5499,-75.23,Map interpolation,Murray Motors,,No,,,,,,,,No,,,,Yes,S9209224,,,
5-000648,Car City Auto,Person,Retail fuel sales (non-marina),,1 North Bi-state Boulevard,,Delmar,Sussex,19940,DE,3,,,38.456269,-75.574436,Map interpolation,"Richardson, Larry R",,No,,,,,,,,No,,,,Yes,S9012107,,,
5-000649,Shawns Hide Away,Private Organization,Commercial,,24373 Blue Blvd,,Millsboro,Sussex,19966,DE,3,,,38.654,-75.175,Map interpolation,Wilson Baker,"Farraro, Geraldine ",No,,,,,,,,No,,,,Yes,S0703025,,,
5-000650,Workmans Store,Private Organization,Retail fuel sales (non-marina),,20303 Hardscrabble Rd,,Georgetown,Sussex,19947,DE,3,,,38.5982,-75.3937,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,,,,,
5-000651,Carlisle Brothers Inc,Private Organization,Agricultural/farm,,RD 1 Box 72A,,Greenwood,Sussex,19950,DE,3,,,38.8089,-75.572635,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,Yes,S9311195,,,
5-000652,Bay City,Private Organization,Commercial,,34792 Long Neck Road,,Millsboro,Sussex,19966,DE,3,,,38.624655,-75.12041,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,Yes,S9206158,,,
5-000653,Timmons Marine Engineering,Person,Commercial,,29118 Piney Neck Road,RD 336,Dagsboro,Sussex,19939,DE,3,,,38.5509,-75.2441,Map interpolation,"Timmons, Franklin ",,No,,,,,,,,No,,,,Yes,S9303040,,,
5-000654,Moore Farms Inc,Private Organization,Agricultural/farm,,PO Box 186,,Millsboro,Sussex,19966,DE,3,,,38.518291,-75.356527,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,,,,,
5-000655,Travis & Son Inc West B,Private Organization,Commercial,,PO Box T,,Rehoboth Beach,Sussex,19971,DE,3,,,38.662043,-75.136793,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,Yes,S9106112,,,
5-000656,Glen Riddles Garage,Private Organization,Auto dealership/auto maintenance & repair,,32839 Millsboro Highway,,Millsboro,Sussex,19966,DE,3,,,38.5253,-75.3568,Map interpolation,Wilson Baker,,No,,,,,,,,No,,,,Yes,S9112317,,,
5-000657,Millmans Service Station,Person,Retail fuel sales (non-marina),,13361 Coastal Hwy,,Milton,Sussex,19968,DE,3,,,38.8048,-75.2724,Map interpolation,"Millman, Vietta ",,No,,,,,,,,No,,,,Yes,S9010077,,,
5-000659,Gulabs Tire Center,Private Organization,Auto dealership/auto maintenance & repair,,"28505 Dupont Blvd,",,Millsboro,Sussex,19966,DE,3,,,38.586,-75.2952,Map interpolation,Gulab - Earnest,,No,,,,,,,,No,,,,Yes,S9009074,,,
5-000660,Trading Post Plaza,Private Organization,Retail fuel sales (non-marina),,31507 Oak Orchard Road,Unit 3,Millsboro,Sussex,19966,DE,3,,,38.6148,-75.2018,Map interpolation,"Trading Post Plaza, LLC",,Yes,NO,YES,NO,NO,NO,,NO,No,NO,NO,,,,,,
5-000661,Edgehill Pharmacy Warehouse,Private Organization,Other,,18 Nassau Commons,,Lewes,Sussex,19958,DE,3,,,38.746487,-75.185979,Map interpolation,Thompson & Thompson,,No,,,,,,,,No,,,,Yes,S9512290,,,
5-000663,University of Delaware Pollution Ecology Lab,State Organization,School,,805 Pilottown Road,,Lewes,Sussex,19958,DE,3,,,38.7902,-75.1639,Map interpolation,University of Delaware - Lewes,,No,,,,,,,,No,,,,,,,,
5-000664,Bethany Sanitary Sewer (Pump Station 60),Private Organization,Industrial,,30145 Coastal Highway,,Bethany Beach,Sussex,19930,DE,3,,,38.5728,-75.0602,Map interpolation,Sussex County Council,,No,,,,,,,,No,,,,,,,,
5-000665,Bethany Sanitary Sewer,Private Organization,Industrial,,31638 North Seaview Drive,,Bethany Beach,Sussex,19930,DE,3,,,38.5536,-75.0596,Map interpolation,Sussex County Council,,No,,,,,,,,No,,,,,,,,
5-000666,US Coast Guard,Federal Organization,Other,,800 Inlet Road,Indian River Inlet,Rehoboth Beach,Sussex,199712698,DE,3,,,38.610011,-75.06818,Map interpolation,US Coast Guard,,No,,,,,,,,No,,,,Yes,S9110231,,,
5-000668,Rumpstitch Machine Work,Private Organization,Commercial,,305 South Rehoboth Highway,,Milford,Sussex,19963,DE,3,,,38.910348,-75.413894,Map interpolation,Rumpstitch Machine Work,,No,,,,,,,,No,,,,Yes,S9107138,,,
5-000670,Chemserve Milford Fertilizer,Private Organization,Commercial,,901 Nanticoke Ave,,Seaford,Sussex,19973,DE,3,,,38.6327,-75.6198,Map interpolation,Allied Terminals -Michael Law,,No,,,,,,,,No,,,,Yes,S9008068,,,
5-000671,John C Louis Company Inc,Private Organization,Commercial,,36371 Sussex Hwy,RD 4 Box 4068,Delmar,Sussex,19940,DE,3,,,38.4841,-75.5568,Map interpolation,John C Louis Company,,No,,,,,,,,No,,,,Yes,S9105106,,,
5-000672,Ellis Realty Company,Person,Commercial,,1109 Middleford Road,,Seaford,Sussex,19973,DE,3,,,38.644313,-75.599708,Map interpolation,"Ellis, Leon R",,No,,,,,,,,No,,,,,,,,
5-000673,State Equipment Co,Private Organization,Commercial,,30668 Sussex Hwy,,Laurel,Sussex,19956,DE,3,,,38.5628,-75.5584,Map interpolation,Peninsula General Hospital,,No,,,,,,,,No,,,,Yes,S9105094,,,
5-000674,Russell Garage Inc,Person,Retail fuel sales (non-marina),,417 N Central Ave,,Laurel,Sussex,19956,DE,3,,,38.5624,-75.5705,Map interpolation,"Russell, Kathryn C",,No,,,,,,,,No,,,,Yes,S9109190,,,
5-000675,Lester Allen Draper,Person,Commercial,,203 Mill Street,,Greenwood,Sussex,19950,DE,3,,,38.8056,-75.5916,Map interpolation,"Draper, Lester Allen",,No,,,,,,,,No,,,,,,,,
5-000678,City of Seaford WWTF,Local Organization,Industrial,,305 Nanticoke Avenue,,Seaford,Sussex,19973,DE,3,,,38.6357,-75.618,Map interpolation,City Of Seaford,,No,,,,,,,,No,,,,Yes,S9110236,,,
5-000679,State Line Auto Sales,Private Organization,Commercial,,38667 Sussex Hwy,,Delmar,Sussex,19940,DE,3,,,38.4569,-75.5579,Map interpolation,J Hooper & Shirley H Parrott,,No,,,,,,,,No,,,,Yes,S9212288,,,
5-000680,Milton Fire Dept,Local Organization,Commercial,,116 Front Street,,Milton,Sussex,19968,DE,3,,,38.777185,-75.309585,Map interpolation,Milton Fire Department,,No,,,,,,,,No,,,,Yes,S1611213,,,
5-000681,Julies Fish Market,Person,Commercial,,30909 Vines Creek Rd,,Dagsboro,Sussex,19939,DE,3,,,38.5568,-75.2001,Map interpolation,"Wagner, Edward ",,No,,,,,,,,No,,,,Yes,S9112311,,,
