facility_id,land_location_id,facility_desc,facilitystatus,created_by,created_date,updated_by,updated_date,tribe_owned,potential_abandoned,state_id_number,icis_number,frs_number
2205,2284,Seven Clans Deli Mart,Operating,dander05,2015-07-07 00:00:00,,,TRUE,,,,
2206,2285,BIA,Permanent Closed,kcaigoy,1998-04-07 00:00:00,,,FALSE,,,,
2207,2286,Pawnee Tribe,Permanent Closed,Jwomack,1999-12-21 00:00:00,,,FALSE,,,,
2208,2287,Pawnee Trading Post,Operating,dander05,2014-08-15 00:00:00,,,TRUE,,,,
2209,2288,Thriftway #403,Permanent Closed,jwomack,2002-02-25 00:00:00,,,FALSE,,,,
2210,2289,O-Gah-Pah Convenience Store,Permanent Closed,Jwomack,1999-12-21 00:00:00,,,TRUE,,,,
2211,2290,Rivermist,Operating,Jwomack,1999-12-20 00:00:00,,,TRUE,,,,
2212,2291,Tonkawa Smoke Shop,Operating,jwomack,2002-04-02 00:00:00,,,TRUE,,,,
2213,2292,Wyandotte Tribe Turtle Stop,Permanent Closed,jwomack,2002-02-25 00:00:00,,,TRUE,,,,
2214,2293,Happy Trails Smoke Shop,Permanent Closed,jwomack,2001-02-05 00:00:00,,,FALSE,,,,
2215,2294,Pojoaque Texaco (Sam's Texaco),Permanent Closed,Jwomack,1999-12-21 00:00:00,,,FALSE,,,,
2216,2295,Ysleta Del Sur Pueblo,Permanent Closed,kcaigoy,1998-04-09 00:00:00,,,TRUE,,,,
2217,2296,Chitimacha Trading Post,Permanent Closed,Jwomack,2000-03-22 00:00:00,,,TRUE,,,,
2218,2297,Rio Lucio Conoco,Permanent Closed,jwomack,2003-07-22 00:00:00,,,FALSE,,,,
2219,2298,Cheyenne-Arapaho Tribes Smoke Shop,Permanent Closed,Lthomas,2014-06-25 00:00:00,,,TRUE,,,,
2220,2299,Chickasaw Travel Stop - Wilson,Operating,Lthomas,2018-06-20 00:00:00,,,TRUE,,,,
2221,2300,Durant Travel Plaza #2,Operating,Lthomas,2017-08-28 00:00:00,,,TRUE,,,,
2222,2301,Grant Travel Plaza,Operating,JWomack,2004-11-18 00:00:00,,,TRUE,,,,
2223,2302,Idabel Travel Plaza,Permanent Closed,JWomack,2004-11-17 00:00:00,,,TRUE,,,,
2224,2303,McAlester Travel Plaza,Operating,JWomack,2004-11-17 00:00:00,,,TRUE,,,,
2225,2305,Former Circle K 716,Permanent Closed,LTHOMA01,2020-07-31 11:44:38,RSNAVELY,2022-12-07 14:02:10,FALSE,,,,
2226,2306,Former El Centro Exxon,Permanent Closed,LTHOMA01,2020-07-31 11:51:29,RSNAVELY,2022-12-07 14:34:29,FALSE,,,,
2237,2317,Mohegan Sun Retail & Fueling Facility,Operating,Cambria,2016-03-03 00:00:00,,,TRUE,,,,
2238,2318,Wabanki Mall,Permanent Closed,Cambria,2008-03-27 00:00:00,ABELAND,2021-05-04 15:33:55,TRUE,,,,
2239,2319,Mohegan Tribe of Indians of CT Fuel Facility,Operating,Cambria,2016-02-11 00:00:00,ABELAND,2021-05-04 13:56:39,TRUE,,,,
2240,2320,Mohegan Sun Central Plant Eagleview,Operating,Cambria,2016-03-03 00:00:00,ABELAND,2021-05-04 16:06:35,TRUE,,,,
2241,2321,Mashantucket Pequot Outpost,Operating,Cambria,2016-02-12 00:00:00,ABELAND,2021-05-04 16:02:15,TRUE,,,,
2242,2322,Fiddlehead's Garage (former),Permanent Closed,Cambria,2016-03-03 00:00:00,ABELAND,2021-05-12 16:02:56,TRUE,,,,
