ut_facility_owner_hist_id,facility_id,start_date,end_date,date_observed,created_by,created_date,updated_by,updated_date,responsible_entity_id,entity_contact_id,facility_owner_id_obs
230,230,,,1999-05-27 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,536,510.0,140.0
231,231,,,1998-01-07 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,537,511.0,141.0
232,232,,,2001-12-28 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,538,512.0,142.0
233,233,,,2002-01-10 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,539,513.0,143.0
234,234,,,1998-01-08 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,540,514.0,144.0
235,235,,,1998-05-05 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,541,515.0,145.0
238,238,,,1999-11-19 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,544,,148.0
241,241,,,1998-01-12 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,547,520.0,151.0
243,243,,,1999-05-27 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,549,522.0,153.0
245,245,,,1998-01-12 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,551,524.0,155.0
246,246,,,1999-03-23 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,552,525.0,156.0
248,248,,,2002-10-08 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,428,419.0,32.0
249,249,,,1999-03-23 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,552,525.0,156.0
251,251,,,1999-03-23 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,506,481.0,110.0
252,252,,,1997-05-20 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,401,392.0,5.0
253,253,,,1998-01-14 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,554,527.0,158.0
254,254,,,2001-05-03 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,555,528.0,159.0
255,255,,,1999-03-23 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,552,525.0,156.0
260,260,,,2001-12-10 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,558,531.0,162.0
261,261,,,1998-08-06 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,559,532.0,163.0
262,262,,,2000-04-17 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,525,500.0,129.0
264,264,,,1998-01-20 00:00:00,,2014-02-10 19:05:33,,2022-10-06 08:00:38,560,533.0,164.0
266,266,,,2000-07-06 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,561,534.0,165.0
267,267,,,2002-01-10 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,539,513.0,143.0
268,268,,,1998-01-20 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,562,535.0,166.0
270,270,,,1998-01-22 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,534,508.0,138.0
272,272,,,2000-10-25 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,563,536.0,167.0
273,273,,,1998-07-27 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,400,391.0,4.0
274,274,,,1998-01-22 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,534,508.0,138.0
276,276,,,2000-10-25 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,563,536.0,167.0
278,278,,,2000-10-25 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,563,536.0,167.0
280,280,,,2000-10-25 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,563,536.0,167.0
281,281,,,2000-03-28 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,565,,169.0
282,282,,,1998-01-22 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,566,538.0,170.0
283,283,,,1997-05-20 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,401,392.0,5.0
284,284,,,2000-10-25 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,563,536.0,167.0
286,286,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,568,540.0,172.0
288,288,,,2000-10-25 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,563,536.0,167.0
289,289,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,569,541.0,173.0
293,293,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,573,545.0,177.0
294,294,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,574,546.0,178.0
296,296,,,1999-03-31 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,576,548.0,180.0
297,297,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,577,549.0,181.0
300,300,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,579,551.0,183.0
301,301,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,580,552.0,184.0
302,302,,,1998-01-23 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,581,553.0,185.0
304,304,,,1999-03-31 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,583,555.0,187.0
305,305,,,1999-03-31 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,583,555.0,187.0
306,306,,,2002-10-08 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,428,419.0,32.0
311,311,,,1999-03-31 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,583,555.0,187.0
312,312,,,1998-01-26 00:00:00,,2014-02-10 19:05:34,,2022-10-06 08:00:38,587,559.0,191.0
314,314,,,1998-01-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,589,561.0,193.0
316,316,,,1998-01-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,591,563.0,195.0
317,317,,,1998-01-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,592,564.0,196.0
319,319,,,1998-01-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,594,566.0,198.0
320,320,,,1998-01-14 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,556,529.0,160.0
321,321,,,1999-03-31 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,583,555.0,187.0
322,322,,,1998-01-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,584,556.0,188.0
324,324,,,1998-01-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,596,568.0,200.0
325,325,,,1998-05-18 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,597,569.0,201.0
328,328,,,1998-01-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,600,572.0,204.0
330,330,,,1998-01-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,600,572.0,204.0
332,332,,,1998-01-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,602,574.0,206.0
333,333,,,1998-01-08 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,543,517.0,147.0
335,335,,,1998-01-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,603,575.0,207.0
336,336,,,1998-01-28 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,604,576.0,208.0
339,339,,,1998-02-03 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,606,578.0,210.0
340,340,,,1998-02-03 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,606,578.0,210.0
341,341,,,2000-10-25 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,563,536.0,167.0
342,342,,,2002-10-17 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,418,409.0,22.0
343,343,,,1998-02-23 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,495,471.0,99.0
345,345,,,1998-02-26 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,485,462.0,89.0
346,346,,,2004-06-21 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,461,,65.0
348,348,,,1998-06-11 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,609,,213.0
349,349,,,1998-07-21 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,610,581.0,214.0
351,351,,,1998-07-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,400,391.0,4.0
352,352,,,1998-08-06 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,612,583.0,216.0
353,353,,,1998-07-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,400,391.0,4.0
354,354,,,1998-07-27 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,400,391.0,4.0
355,355,,,2003-07-17 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,424,415.0,28.0
357,357,,,1998-10-22 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,614,585.0,218.0
358,358,,,1997-08-13 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,402,393.0,6.0
359,359,,,1997-08-14 00:00:00,,2014-02-10 19:05:35,,2022-10-06 08:00:38,458,440.0,62.0
361,361,,,1998-11-30 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,616,587.0,220.0
363,363,,,2002-03-27 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,618,589.0,222.0
365,365,,,1998-12-18 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,620,591.0,224.0
366,366,,,1999-01-08 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,621,592.0,225.0
368,368,,,1999-01-20 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,488,465.0,92.0
369,369,,,1999-01-20 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,488,465.0,92.0
370,370,,,1998-01-23 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,573,545.0,177.0
371,371,,,1999-03-06 00:00:00,,2014-02-10 19:05:36,,2022-10-06 08:00:38,623,593.0,227.0
