land_use_id,land_location_id,land_use_type_id,start_date,end_date,date_observed,land_use_note,created_by,created_date,updated_by,updated_date
187,187,4,,,1993-05-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
188,188,16,,,1987-11-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
189,189,12,,,1991-06-11 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
190,190,1,,,1992-03-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
191,191,1,,,1986-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
192,192,12,,,1986-02-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
193,193,1,,,1986-04-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
194,194,1,,,1986-02-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
195,195,1,,,2001-01-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
196,196,5,,,1997-12-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
197,197,10,,,1986-02-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
198,198,1,,,1986-04-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
199,199,4,,,1986-11-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
200,200,12,,,1986-04-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
201,201,12,,,1986-04-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
202,202,12,,,1988-12-02 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
203,203,10,,,1986-05-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
204,204,8,,,1986-09-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
205,205,8,,,1986-01-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
206,206,5,,,1986-11-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
207,207,10,,,1988-12-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
208,208,12,,,1986-02-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
209,209,1,,,2001-04-20 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
210,210,14,,,1986-11-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
211,211,1,,,2005-03-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
212,212,16,,,1989-06-22 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
213,213,1,,,1986-01-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
214,214,10,,,1986-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
215,215,4,,,1991-10-11 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
216,216,4,,,1992-01-20 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
217,217,4,,,1986-03-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
218,218,1,,,1989-05-31 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
219,219,16,,,1989-05-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
220,220,16,,,1989-05-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
221,221,12,,,1989-05-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
222,222,16,,,1994-09-14 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
223,223,1,,,1994-05-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
224,224,4,,,1994-07-15 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
225,225,1,,,1995-01-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
226,226,16,,,1986-07-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
227,227,12,,,1993-02-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
228,228,4,,,1994-01-04 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
229,229,1,,,1992-05-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
230,230,12,,,1993-01-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
231,231,8,,,1992-03-19 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
232,232,1,,,1991-04-25 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
233,233,1,,,1987-01-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
234,234,1,,,1992-01-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
235,235,8,,,1989-12-15 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
236,236,1,,,1988-10-03 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
237,237,14,,,1986-05-02 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
238,238,14,,,1986-05-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
239,239,1,,,1991-01-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
240,240,16,,,1986-05-05 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
241,241,12,,,1995-07-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
242,242,1,,,1986-11-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
243,243,12,,,1990-03-12 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
244,244,10,,,1993-10-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
245,245,8,,,1986-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
246,246,4,,,1985-12-10 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
247,247,4,,,1985-12-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
248,248,4,,,1988-10-26 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
249,249,4,,,1986-04-02 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
250,250,14,,,1989-02-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
251,251,1,,,1999-02-18 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
252,252,13,,,2000-08-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
253,253,3,,,1994-03-17 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
254,254,1,,,1994-06-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
255,255,4,,,1994-06-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
256,256,14,,,1999-02-23 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
257,257,8,,,1986-01-29 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
258,258,12,,,1995-05-31 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
259,259,10,,,1994-06-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
260,260,1,,,1996-10-09 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
261,261,1,,,1992-03-26 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
262,262,4,,,1991-06-01 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
263,263,14,,,1988-02-07 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
264,264,12,,,1995-01-22 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
265,265,18,,,1994-08-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
266,266,1,,,1998-07-21 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
267,267,1,,,1998-10-08 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
268,268,1,,,1986-04-30 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
269,269,14,,,1993-01-28 00:00:00,Migrated from previous TLUST system.,,2014-02-10 18:37:33,,
